Time (ms),HEAD,Knee,ankle,food
40,65.1052398681641,80.1761245727539,146.379409790039,103.507247924805
80,82.2007522583008,100.218070983887,166.574844360352,96.8007965087891
120,96.8770446777344,120.54280090332,175.196884155273,76.6139526367188
160,96.5003890991211,130.823806762695,155.574844360352,88.8046646118164
200,80.9484024047852,135.220596313477,158.522918701172,198.323287963867
240,61.3924217224121,150.077865600586,303.564605712891,374.104736328125
280,48.1435966491699,183.847900390625,540.468139648438,578.811706542969
320,43.291072845459,220.570449829102,767.139221191406,752.823486328125
360,40.1408805847168,226.629638671875,873.478698730469,818.6396484375
400,31.8241786956787,177.984191894531,794.263305664063,733.396667480469
440,25.4519920349121,82.1434631347656,563.781982421875,530.613708496094
480,43.7098693847656,33.0976829528809,280.846588134766,291.211791992188
520,72.3779067993164,125.868057250977,85.7811965942383,109.62532043457
560,89.4756011962891,173.786529541016,193.391799926758,143.65234375
600,82.3135833740234,164.320129394531,268.001159667969,214.75764465332
640,55.0125617980957,114.665748596191,269.439392089844,236.286544799805
680,25.3296852111816,61.1639633178711,237.339096069336,225.906967163086
720,10.3715648651123,29.7258243560791,205.906921386719,205.291275024414
760,11.9324607849121,20.7934761047363,187.160110473633,187.692001342773
800,16.3479347229004,26.5538845062256,180.167587280273,178.109771728516
840,22.1669864654541,40.3456268310547,181.61344909668,175.70524597168
880,26.2625885009766,54.3954696655273,186.363021850586,176.809036254883
920,28.0529804229736,65.1282043457031,189.201263427734,178.47248840332
960,31.2496852874756,73.0121307373047,189.416275024414,180.116455078125
1000,37.852466583252,79.3885650634766,189.206100463867,181.500152587891
1040,45.4312171936035,83.1996612548828,188.22834777832,181.035095214844
1080,49.2646751403809,81.6297302246094,183.078216552734,176.924346923828
1120,46.1053504943848,74.614128112793,173.019180297852,170.282012939453
1160,37.9310035705566,67.2078552246094,164.137451171875,166.197204589844
1200,31.2995796203613,65.749870300293,163.983978271484,168.977066040039
1240,30.8297691345215,70.9261016845703,172.225494384766,176.667282104492
1280,32.3771934509277,75.5035171508789,179.478256225586,181.725845336914
1320,30.3240547180176,71.2429656982422,177.427276611328,178.612091064453
1360,22.5023880004883,55.0410346984863,169.242584228516,169.989852905273
1400,8.4899959564209,29.5677852630615,166.88037109375,162.663162231445
1440,10.6978101730347,7.87328815460205,175.365539550781,159.226440429688
1480,31.6167011260986,27.0044994354248,183.723281860352,155.989608764648
1520,49.9509086608887,47.3418083190918,180.481842041016,147.248443603516
1560,61.8483123779297,64.7129287719727,165.658126831055,128.413421630859
1600,65.0927047729492,78.26123046875,142.145477294922,95.3572387695313
1640,60.857608795166,89.3783950805664,106.90616607666,53.809024810791
1680,53.7441749572754,103.126968383789,83.3137969970703,87.4566955566406
1720,48.822998046875,125.126670837402,185.554901123047,204.249618530273
1760,46.6730613708496,155.404922485352,371.864959716797,358.845031738281
1800,43.3512840270996,182.644515991211,556.913818359375,526.7421875
1840,36.9054298400879,191.193801879883,674.697937011719,667.015991210938
1880,29.3625774383545,173.759155273438,702.441589355469,731.730041503906
1920,23.9206314086914,131.856582641602,652.035461425781,695.887084960938
1960,25.0824909210205,70.5763854980469,537.883239746094,571.443237304688
2000,37.6204032897949,13.5166635513306,370.400146484375,390.382598876953
2040,55.4737777709961,68.1618804931641,174.731491088867,193.387542724609
2080,64.9628219604492,102.256217956543,33.0016632080078,59.5965576171875
2120,55.9196319580078,96.272087097168,136.311477661133,131.702865600586
2160,33.2179145812988,62.770923614502,194.948822021484,191.21354675293
2200,13.9653701782227,29.9247303009033,211.048614501953,210.597427368164
2240,12.8312740325928,16.6347484588623,207.616714477539,206.769287109375
2280,23.9398250579834,17.3719635009766,200.103973388672,194.736785888672
2320,35.0772933959961,25.3129405975342,194.419906616211,182.838348388672
2360,39.0599670410156,34.8251190185547,188.535507202148,172.466705322266
2400,34.4849548339844,42.4494171142578,177.110687255859,160.905075073242
2440,24.4046211242676,48.8741722106934,159.645294189453,147.311141967773
2480,13.9384899139404,56.3825149536133,145.607955932617,137.407775878906
2520,8.43675422668457,66.0102767944336,146.084213256836,138.632568359375
2560,10.8890361785889,76.0698776245117,160.240951538086,150.452514648438
2600,19.295051574707,82.685546875,174.878005981445,163.391494750977
2640,29.4209365844727,83.2436370849609,179.078399658203,169.345184326172
2680,37.3613319396973,79.7083282470703,175.567306518555,170.033996582031
2720,42.7198104858398,76.4849166870117,174.063949584961,172.434036254883
2760,45.6086120605469,75.5537796020508,177.626861572266,178.546783447266
2800,44.4542503356934,75.2236557006836,180.01741027832,182.979553222656
2840,39.0871696472168,73.5530242919922,175.671981811523,180.81819152832
2880,32.6620635986328,71.2661590576172,168.078979492188,174.760848999023
2920,26.8589019775391,69.7598571777344,164.960083007813,171.409484863281
2960,21.0966377258301,68.7486724853516,168.211212158203,172.996505737305
3000,17.6122398376465,67.6492080688477,172.45556640625,175.667236328125
3040,19.2834053039551,67.0683670043945,172.660446166992,175.125717163086
3080,24.1637897491455,66.5798568725586,167.241317749023,170.59912109375
3120,28.6814403533936,62.8017539978027,154.226181030273,162.650970458984
3160,30.8634376525879,52.8139610290527,133.496353149414,152.716567993164
3200,28.7662658691406,37.6764640808105,110.972297668457,144.665985107422
3240,21.1324443817139,25.0819606781006,95.1451721191406,141.209991455078
3280,15.2150392532349,33.3743743896484,93.5876693725586,138.761581420898
3320,25.6210117340088,54.8176498413086,107.887138366699,127.103370666504
3360,39.6514663696289,73.7215118408203,127.710441589355,95.5777130126953
3400,49.0609855651855,85.1062316894531,136.4462890625,51.9004592895508
3440,52.6320304870605,91.6407012939453,121.426300048828,97.1382675170898
3480,51.8488655090332,102.581108093262,102.601020812988,215.707992553711
3520,48.0960159301758,126.454238891602,163.493118286133,354.001983642578
3560,42.0051765441895,163.212799072266,308.309539794922,493.272033691406
3600,37.0748901367188,204.867752075195,500.613494873047,620.06689453125
3640,40.5720825195313,238.501647949219,704.950134277344,718.043029785156
3680,50.5085525512695,248.678741455078,855.534301757813,764.135620117188
3720,52.2216033935547,220.308471679688,876.235595703125,733.566223144531
3760,39.535041809082,149.238327026367,742.669677734375,617.633117675781
3800,30.4909839630127,55.0365409851074,504.313659667969,437.893310546875
3840,41.3514518737793,46.2538299560547,240.659103393555,238.2080078125
3880,48.6203651428223,99.8198852539063,65.3477096557617,92.5164947509766
3920,40.8321800231934,109.27123260498,159.096206665039,128.838531494141
3960,21.8275508880615,81.507438659668,213.568481445313,183.297378540039
4000,15.6238288879395,42.5159530639648,216.797500610352,201.610855102539
4040,25.1974353790283,17.2174263000488,204.885299682617,203.111846923828
4080,32.3676681518555,12.5527086257935,195.361892700195,200.096450805664
4120,36.1381149291992,18.4238891601563,187.484497070313,193.518096923828
4160,30.2201995849609,30.4074821472168,178.501037597656,183.414413452148
4200,16.4231071472168,44.5256080627441,173.086639404297,175.103591918945
4240,9.85990428924561,58.8022956848145,177.029296875,173.980819702148
4280,16.6052761077881,71.2325668334961,188.156982421875,178.862518310547
4320,16.7726593017578,79.1166229248047,197.747283935547,183.773941040039
4360,15.9778928756714,81.7604522705078,200.621734619141,185.648788452148
4400,29.3947257995605,81.4714279174805,199.245590209961,186.541564941406
4440,43.5037269592285,79.9982528686523,195.964218139648,187.614212036133
4480,49.114673614502,77.2926254272461,189.68034362793,187.339752197266
4520,47.5062294006348,74.3300323486328,180.972351074219,185.338500976563
4560,44.0537643432617,73.101448059082,172.475860595703,182.485961914063
4600,41.7643814086914,73.4223556518555,165.435684204102,178.669235229492
4640,39.2818641662598,72.4687194824219,159.425476074219,172.706253051758
4680,34.9161605834961,69.2083587646484,155.617874145508,164.85041809082
4720,31.3764038085938,67.4074401855469,158.422180175781,158.354476928711
4760,33.3008346557617,70.2763671875,169.288391113281,156.132598876953
4800,36.7393531799316,74.6411895751953,180.111511230469,156.864074707031
4840,33.2107391357422,74.9944915771484,179.069107055664,156.471786499023
4880,25.7636680603027,69.8304595947266,163.97021484375,153.804794311523
4920,27.8268871307373,62.6913566589355,145.539184570313,153.105484008789
4960,26.9424266815186,58.1624526977539,136.178527832031,159.517761230469
5000,16.9968967437744,58.1099472045898,139.641967773438,173.568710327148
5040,20.3418712615967,60.8969116210938,149.853942871094,189.288864135742
